mpicxx -O3 -DUSE_HIP -w src/task1_shared.cu -o build/task1
mpicxx -O3 -DUSE_HIP -w src/task2.cu -o build/task2
Running task1...
Iteration 14500, Residual: 3.153246e+04, Error: 2.898706e+02
Iteration 14600, Residual: 3.108640e+04, Error: 2.864635e+02
Iteration 14700, Residual: 3.064793e+04, Error: 2.831035e+02
Iteration 14800, Residual: 3.021689e+04, Error: 2.797898e+02
Iteration 14900, Residual: 2.979313e+04, Error: 2.765217e+02
Iteration 15000, Residual: 2.937652e+04, Error: 2.732983e+02
Iteration 15100, Residual: 2.896693e+04, Error: 2.701190e+02
Iteration 15200, Residual: 2.856420e+04, Error: 2.669830e+02
Iteration 15300, Residual: 2.816822e+04, Error: 2.638896e+02
Iteration 15400, Residual: 2.777885e+04, Error: 2.608380e+02
Iteration 15500, Residual: 2.739597e+04, Error: 2.578276e+02
Iteration 15600, Residual: 2.701945e+04, Error: 2.548577e+02
Iteration 15700, Residual: 2.664916e+04, Error: 2.519276e+02
Iteration 15800, Residual: 2.628500e+04, Error: 2.490367e+02
Iteration 15900, Residual: 2.592685e+04, Error: 2.461843e+02
Iteration 16000, Residual: 2.557458e+04, Error: 2.433697e+02
Iteration 16100, Residual: 2.522809e+04, Error: 2.405925e+02
Iteration 16200, Residual: 2.488727e+04, Error: 2.378519e+02
Iteration 16300, Residual: 2.455200e+04, Error: 2.351474e+02
Iteration 16400, Residual: 2.422220e+04, Error: 2.324784e+02
Iteration 16500, Residual: 2.389774e+04, Error: 2.298443e+02
Iteration 16600, Residual: 2.357853e+04, Error: 2.272445e+02
Iteration 16700, Residual: 2.326448e+04, Error: 2.246786e+02
Iteration 16800, Residual: 2.295548e+04, Error: 2.221460e+02
Iteration 16900, Residual: 2.265144e+04, Error: 2.196461e+02
Iteration 17000, Residual: 2.235226e+04, Error: 2.171784e+02
Iteration 17100, Residual: 2.205786e+04, Error: 2.147424e+02
Iteration 17200, Residual: 2.176814e+04, Error: 2.123377e+02
Iteration 17300, Residual: 2.148302e+04, Error: 2.099637e+02
Iteration 17400, Residual: 2.120241e+04, Error: 2.076199e+02
Iteration 17500, Residual: 2.092623e+04, Error: 2.053060e+02
Iteration 17600, Residual: 2.065440e+04, Error: 2.030213e+02
Iteration 17700, Residual: 2.038683e+04, Error: 2.007656e+02
Iteration 17800, Residual: 2.012344e+04, Error: 1.985382e+02
Iteration 17900, Residual: 1.986416e+04, Error: 1.963388e+02
Iteration 18000, Residual: 1.960892e+04, Error: 1.941670e+02
Iteration 18100, Residual: 1.935763e+04, Error: 1.920224e+02
Iteration 18200, Residual: 1.911022e+04, Error: 1.899044e+02
Iteration 18300, Residual: 1.886663e+04, Error: 1.878128e+02
