mpicxx -O3 -DUSE_HIP -w src/task1.cu -o build/task1
mpicxx -O3 -DUSE_HIP -w src/task2.cu -o build/task2
Running task1...
Iteration 12500, Residual: 3.265208e+03, Error: 3.579958e+01
Iteration 12600, Residual: 3.187375e+03, Error: 3.497872e+01
Iteration 12700, Residual: 3.111553e+03, Error: 3.417720e+01
Iteration 12800, Residual: 3.037683e+03, Error: 3.339452e+01
Iteration 12900, Residual: 2.965705e+03, Error: 3.263022e+01
Iteration 13000, Residual: 2.895565e+03, Error: 3.188383e+01
Iteration 13100, Residual: 2.827206e+03, Error: 3.115490e+01
Iteration 13200, Residual: 2.760578e+03, Error: 3.044301e+01
Iteration 13300, Residual: 2.695630e+03, Error: 2.974773e+01
Iteration 13400, Residual: 2.632313e+03, Error: 2.906865e+01
Iteration 13500, Residual: 2.570580e+03, Error: 2.840538e+01
Iteration 13600, Residual: 2.510387e+03, Error: 2.775753e+01
Iteration 13700, Residual: 2.451689e+03, Error: 2.712471e+01
Iteration 13800, Residual: 2.394445e+03, Error: 2.650657e+01
Iteration 13900, Residual: 2.338613e+03, Error: 2.590274e+01
Iteration 14000, Residual: 2.284155e+03, Error: 2.531289e+01
Iteration 14100, Residual: 2.231033e+03, Error: 2.473667e+01
Iteration 14200, Residual: 2.179210e+03, Error: 2.417376e+01
Iteration 14300, Residual: 2.128651e+03, Error: 2.362383e+01
Iteration 14400, Residual: 2.079320e+03, Error: 2.308657e+01
Iteration 14500, Residual: 2.031186e+03, Error: 2.256168e+01
Iteration 14600, Residual: 1.984216e+03, Error: 2.204887e+01
Iteration 14700, Residual: 1.938379e+03, Error: 2.154785e+01
Iteration 14800, Residual: 1.893644e+03, Error: 2.105833e+01
Iteration 14900, Residual: 1.849984e+03, Error: 2.058005e+01
Iteration 15000, Residual: 1.807369e+03, Error: 2.011274e+01
Iteration 15100, Residual: 1.765772e+03, Error: 1.965613e+01
Iteration 15200, Residual: 1.725167e+03, Error: 1.920998e+01
Iteration 15300, Residual: 1.685528e+03, Error: 1.877404e+01
Iteration 15400, Residual: 1.646831e+03, Error: 1.834808e+01
Iteration 15500, Residual: 1.609050e+03, Error: 1.793184e+01
Iteration 15600, Residual: 1.572163e+03, Error: 1.752512e+01
Iteration 15700, Residual: 1.536147e+03, Error: 1.712768e+01
Iteration 15800, Residual: 1.500979e+03, Error: 1.673931e+01
Iteration 15900, Residual: 1.466639e+03, Error: 1.635980e+01
Iteration 16000, Residual: 1.433106e+03, Error: 1.598894e+01
Iteration 16100, Residual: 1.400359e+03, Error: 1.562653e+01
Iteration 16200, Residual: 1.368379e+03, Error: 1.527237e+01
Iteration 16300, Residual: 1.337147e+03, Error: 1.492627e+01
Iteration 16400, Residual: 1.306643e+03, Error: 1.458805e+01
Iteration 16500, Residual: 1.276851e+03, Error: 1.425752e+01
Iteration 16600, Residual: 1.247753e+03, Error: 1.393450e+01
Iteration 16700, Residual: 1.219331e+03, Error: 1.361883e+01
Iteration 16800, Residual: 1.191570e+03, Error: 1.331032e+01
Iteration 16900, Residual: 1.164452e+03, Error: 1.300882e+01
Iteration 17000, Residual: 1.137963e+03, Error: 1.271417e+01
Iteration 17100, Residual: 1.112087e+03, Error: 1.242620e+01
Iteration 17200, Residual: 1.086810e+03, Error: 1.214477e+01
Iteration 17300, Residual: 1.062116e+03, Error: 1.186972e+01
Iteration 17400, Residual: 1.037992e+03, Error: 1.160090e+01
Iteration 17500, Residual: 1.014424e+03, Error: 1.133818e+01
Iteration 17600, Residual: 9.913990e+02, Error: 1.108141e+01
Iteration 17700, Residual: 9.689039e+02, Error: 1.083046e+01
Iteration 17800, Residual: 9.469260e+02, Error: 1.058519e+01
Iteration 17900, Residual: 9.254531e+02, Error: 1.034548e+01
Iteration 18000, Residual: 9.044730e+02, Error: 1.011119e+01
Iteration 18100, Residual: 8.839743e+02, Error: 9.882208e+00
Iteration 18200, Residual: 8.639454e+02, Error: 9.658405e+00
Iteration 18300, Residual: 8.443753e+02, Error: 9.439666e+00
Iteration 18400, Residual: 8.252532e+02, Error: 9.225875e+00
Iteration 18500, Residual: 8.065685e+02, Error: 9.016919e+00
Iteration 18600, Residual: 7.883110e+02, Error: 8.812688e+00
Iteration 18700, Residual: 7.704706e+02, Error: 8.613074e+00
Iteration 18800, Residual: 7.530376e+02, Error: 8.417972e+00
Iteration 18900, Residual: 7.360025e+02, Error: 8.227280e+00
Iteration 19000, Residual: 7.193559e+02, Error: 8.040896e+00
Iteration 19100, Residual: 7.030889e+02, Error: 7.858724e+00
Iteration 19200, Residual: 6.871925e+02, Error: 7.680667e+00
Iteration 19300, Residual: 6.716582e+02, Error: 7.506632e+00
Iteration 19400, Residual: 6.564775e+02, Error: 7.336527e+00
Iteration 19500, Residual: 6.416423e+02, Error: 7.170264e+00
